2026-05-09 12:54:40  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.avivaindia.com/public-disclosure]: HTTPError
2026-05-09 12:54:46  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.avivaindia.com/public-disclosure]: HTTPError
2026-05-09 12:54:48  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on investors
2026-05-09 12:54:49  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Aviva Life Insurance
2026-05-09 12:54:51  INFO      scrapers.company_disclosure_scraper_v2 —   [19/23] Star Union Dai-ichi Life Insurance
2026-05-09 12:54:51  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.sudlife.in/public-disclosure]: HTTPError
2026-05-09 12:54:54  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.sudlife.in/public-disclosure]: HTTPError
2026-05-09 12:54:58  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.sudlife.in/public-disclosure]: HTTPError
2026-05-09 12:54:58  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.sudlife.in/investor-relations]: HTTPError
2026-05-09 12:55:00  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.sudlife.in/investor-relations]: HTTPError
2026-05-09 12:55:04  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.sudlife.in/investor-relations]: HTTPError
2026-05-09 12:55:04  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Star Union Dai-ichi Life Insurance
2026-05-09 12:55:07  INFO      scrapers.company_disclosure_scraper_v2 —   [20/23] Aegon Life Insurance
2026-05-09 12:55:08  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.aegonlife.com/about-aegon-life/investor-relations]: HTTPError
2026-05-09 12:55:12  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.aegonlife.com/about-aegon-life/investor-relations]: HTTPError
2026-05-09 12:55:19  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.aegonlife.com/about-aegon-life/investor-relations]: HTTPError
2026-05-09 12:55:20  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on investors
2026-05-09 12:55:21  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Aegon Life Insurance
2026-05-09 12:55:22  INFO      scrapers.company_disclosure_scraper_v2 —   [21/23] Bandhan Life Insurance
2026-05-09 12:55:24  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on public-disclosure
2026-05-09 12:55:26  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.bandhanlife.com/investor-relations]: HTTPError
2026-05-09 12:55:30  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.bandhanlife.com/investor-relations]: HTTPError
2026-05-09 12:55:35  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.bandhanlife.com/investor-relations]: HTTPError
2026-05-09 12:55:35  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Bandhan Life Insurance
2026-05-09 12:55:37  INFO      scrapers.company_disclosure_scraper_v2 —   [22/23] Credit Access Life Insurance
2026-05-09 12:55:38  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://calife.in/public-disclosures/]: HTTPError
2026-05-09 12:55:40  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://calife.in/public-disclosures/]: HTTPError
2026-05-09 12:55:45  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://calife.in/public-disclosures/]: HTTPError
2026-05-09 12:55:45  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://creditaccesslife.in/Public_Disclosure]: HTTPError
2026-05-09 12:55:47  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://creditaccesslife.in/Public_Disclosure]: HTTPError
2026-05-09 12:55:51  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://creditaccesslife.in/Public_Disclosure]: HTTPError
2026-05-09 12:55:51  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Credit Access Life Insurance
2026-05-09 12:55:53  INFO      scrapers.company_disclosure_scraper_v2 —   [23/23] Sahara India Life Insurance
2026-05-09 12:55:54  INFO      scrapers.company_disclosure_scraper_v2 —     Found 10 PDF(s) on AnnualReport.html
2026-05-09 12:56:16  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on viewreport.asp
2026-05-09 12:56:17  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Sahara India Life Insurance
2026-05-09 12:56:18  INFO      scrapers.company_disclosure_scraper_v2 — Company website scrape complete (v2): 5/23 companies yielded live KPI data.
2026-05-09 12:56:18  INFO      orchestrator_v2 — Raw saved → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/raw/company_websites_v2_20260509_125618.csv  (23 rows)
2026-05-09 12:56:18  INFO      orchestrator_v2 — Company websites (v2): 5/23 companies yielded live KPI data
2026-05-09 12:56:19  INFO      orchestrator_v2 — ════════════════════════════════════════════════════════════════════════════════
2026-05-09 12:56:19  INFO      orchestrator_v2 — STEP 3/6 — Scraping CSR cross-check (PolicyBazaar) & Wikipedia metadata...
2026-05-09 12:56:19  INFO      scrapers.aggregator_scraper — Scraping PolicyBazaar CSR page...
2026-05-09 12:56:20  WARNING   scrapers.aggregator_scraper — Failed to fetch https://www.policybazaar.com/life-insurance/claim-settlement-ratio/: 404 Client Error: Not Found for url: https://www.policybazaar.com/life-insurance/claim-settlement-ratio/
2026-05-09 12:56:20  WARNING   scrapers.aggregator_scraper — Using seed CSR/solvency data.
2026-05-09 12:56:20  INFO      scrapers.aggregator_scraper — Scraping Wikipedia insurance companies list...
2026-05-09 12:56:21  INFO      scrapers.aggregator_scraper — Wikipedia: found 74 companies.
2026-05-09 12:56:21  INFO      orchestrator_v2 — Raw saved → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/raw/csr_solvency_20260509_125621.csv  (23 rows)
2026-05-09 12:56:21  INFO      orchestrator_v2 — Raw saved → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/raw/wikipedia_20260509_125621.csv  (74 rows)
2026-05-09 12:56:21  INFO      orchestrator_v2 — CSR/Solvency: 23 records | Wikipedia: 74 records
2026-05-09 12:56:22  INFO      orchestrator_v2 — ════════════════════════════════════════════════════════════════════════════════
2026-05-09 12:56:22  INFO      orchestrator_v2 — STEP 4/6 — Scraping news RSS feeds (ET, LiveMint, MoneyControl)...
2026-05-09 12:56:22  INFO      scrapers.news_scraper — Fetching RSS feed: Economic Times - Insurance
2026-05-09 12:56:22  INFO      scrapers.news_scraper — Fetching RSS feed: Economic Times - Finance
2026-05-09 12:56:22  INFO      scrapers.news_scraper — Fetching RSS feed: Business Standard - Insurance
2026-05-09 12:56:23  WARNING   scrapers.news_scraper — Feed parse warning for Business Standard - Insurance: <unknown>:10:2: mismatched tag
2026-05-09 12:56:23  INFO      scrapers.news_scraper — Fetching RSS feed: Money Control - Insurance
2026-05-09 12:56:24  INFO      scrapers.news_scraper — Fetching RSS feed: LiveMint - Insurance
2026-05-09 12:56:24  INFO      scrapers.news_scraper — News scraper: collected 39 relevant articles.
2026-05-09 12:56:24  INFO      orchestrator_v2 — Raw saved → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/raw/news_20260509_125624.csv  (39 rows)
2026-05-09 12:56:24  INFO      orchestrator_v2 — News: 39 relevant articles collected
2026-05-09 12:56:24  INFO      orchestrator_v2 — ════════════════════════════════════════════════════════════════════════════════
2026-05-09 12:56:24  INFO      orchestrator_v2 — STEP 5/6 — Merging all sources, normalizing, computing rankings...
2026-05-09 12:56:24  INFO      pipeline.normalizer — Starting merge of all data sources...
2026-05-09 12:56:24  INFO      pipeline.normalizer — Company website overlay: 5 companies updated.
2026-05-09 12:56:24  INFO      pipeline.normalizer — Merged DataFrame: 23 companies, 16 columns.
2026-05-09 12:56:24  INFO      pipeline.ranker — Ranking complete: 23 companies ranked.
2026-05-09 12:56:24  INFO      orchestrator_v2 — ════════════════════════════════════════════════════════════════════════════════
2026-05-09 12:56:24  INFO      orchestrator_v2 — STEP 6/6 — Building extraction report and exporting CSVs...
2026-05-09 12:56:24  INFO      pipeline.normalizer — Source coverage report: 23 companies, avg completeness 100.0%
2026-05-09 12:56:24  INFO      orchestrator_v2 — Master CSV    → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/life_insurance_master.csv  (23 rows, 16 cols)
